#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = 水
lava                                              (minecraft:lava)                                                                 = 熔岩
liquidhydrogen                                    ([no block])                                                                     = 液态氢
liquidoxygen                                      ([no block])                                                                     = 液态氧
liquidchlorine                                    ([no block])                                                                     = 液态氯
liquidsulfurdioxide                               ([no block])                                                                     = 液态二氧化硫
liquidsulfurtrioxide                              ([no block])                                                                     = 液态三氧化硫
sulfuricacid                                      ([no block])                                                                     = 硫酸
liquidhydrogenchloride                            ([no block])                                                                     = 液态氯化氢
liquidethene                                      ([no block])                                                                     = 液态乙烯
liquidsodium                                      ([no block])                                                                     = 液态钠
brine                                             ([no block])                                                                     = 盐水
liquiddeuterium                                   ([no block])                                                                     = 液态氘
liquidtritium                                     ([no block])                                                                     = 液态氚
liquidfusionfuel                                  ([no block])                                                                     = 液态氘氚燃料
liquidlithium                                     ([no block])                                                                     = 液态锂
heavywater                                        ([no block])                                                                     = 重水
steam                                             (gregtech:fluid.steam)                                                           = 蒸汽
iron                                              (tconstruct:molten_iron)                                                         = 熔融铁
gold                                              (tconstruct:molten_gold)                                                         = 熔融金
pigiron                                           (tconstruct:molten_pigiron)                                                      = 熔融生铁
cobalt                                            (tconstruct:molten_cobalt)                                                       = 熔融钴
ardite                                            (tconstruct:molten_ardite)                                                       = 熔融阿迪特
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = 熔融玛玉灵
knightslime                                       (tconstruct:molten_knightslime)                                                  = 熔融骑士史莱姆
alubrass                                          (tconstruct:molten_alubrass)                                                     = 熔融铝黄铜
brass                                             (tconstruct:molten_brass)                                                        = 熔融黄铜
copper                                            (tconstruct:molten_copper)                                                       = 熔融铜
tin                                               (tconstruct:molten_tin)                                                          = 熔融锡
bronze                                            (tconstruct:molten_bronze)                                                       = 熔融青铜
zinc                                              (tconstruct:molten_zinc)                                                         = 熔融锌
lead                                              (tconstruct:molten_lead)                                                         = 熔融铅
nickel                                            (tconstruct:molten_nickel)                                                       = 熔融镍
silver                                            (tconstruct:molten_silver)                                                       = 熔融银
electrum                                          (tconstruct:molten_electrum)                                                     = 熔融琥珀金
steel                                             (tconstruct:molten_steel)                                                        = 熔融钢
aluminum                                          (tconstruct:molten_aluminum)                                                     = 熔融铝
ic2uu_matter                                      (ic2:uu_matter)                                                                  = UU物质
ic2construction_foam                              (ic2:construction_foam)                                                          = 建筑泡沫
ic2coolant                                        (ic2:coolant)                                                                    = IC2冷却液
ic2creosote                                       (ic2:creosote)                                                                   = 杂酚油
ic2hot_coolant                                    (ic2:hot_coolant)                                                                = IC2热冷却液
ic2pahoehoe_lava                                  (ic2:pahoehoe_lava)                                                              = 绳状熔岩
ic2biomass                                        (ic2:biomass)                                                                    = 生物质
ic2biogas                                         (ic2:biogas)                                                                     = 沼气
ic2distilled_water                                (ic2:distilled_water)                                                            = 蒸馏水
ic2superheated_steam                              (ic2:superheated_steam)                                                          = 过热蒸汽
ic2steam                                          (ic2:steam)                                                                      = 蒸汽
ic2hot_water                                      (ic2:hot_water)                                                                  = 温泉水
ic2weed_ex                                        (ic2:weed_ex)                                                                    = 除草剂喷雾
ic2air                                            (ic2:air)                                                                        = 空气
ic2hydrogen                                       (ic2:hydrogen)                                                                   = 氢气
ic2oxygen                                         (ic2:oxygen)                                                                     = 氧气
ic2heavy_water                                    (ic2:heavy_water)                                                                = 重水
creosote                                          (immersiveengineering:fluidcreosote)                                             = 杂酚油
coal                                              ([no block])                                                                     = 液态煤炭
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = 石油
refined_oil                                       ([no block])                                                                     = 石脑油
refined_fuel                                      ([no block])                                                                     = 精炼油
sap                                               ([no block])                                                                     = 树汁
syrup                                             ([no block])                                                                     = 糖浆
resin                                             ([no block])                                                                     = 树脂
tree_oil                                          ([no block])                                                                     = 树油
seed_oil                                          ([no block])                                                                     = 种子油
biocrude                                          ([no block])                                                                     = 生物质原油
refined_biofuel                                   ([no block])                                                                     = 藿香碱
mushroom_stew                                     ([no block])                                                                     = 蘑菇煲
experience                                        ([no block])                                                                     = 知识精华
potion                                            ([no block])                                                                     = 药水
potion_splash                                     ([no block])                                                                     = 喷溅药水
potion_lingering                                  ([no block])                                                                     = 滞留药水
redstone                                          (thermalfoundation:fluid_redstone)                                               = 不稳定红石
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = 充能液态荧石
ender                                             (thermalfoundation:fluid_ender)                                                  = 谐振末影珍珠
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = 烈焰之炽焱
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = 极寒之凛冰
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = 飞扬之清风
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = 板块之层岩
mana                                              (thermalfoundation:fluid_mana)                                                   = 元始魔力
platinum                                          (gregtech:fluid.platinum)                                                        = 熔融铂
iridium                                           (tconstruct:molten_iridium)                                                      = 熔融铱
invar                                             (tconstruct:molten_invar)                                                        = 熔融殷钢
constantan                                        (immersiveengineering:molten_constantan)                                         = 熔融康铜
signalum                                          (tconstruct:molten_signalum)                                                     = 熔融信素
lumium                                            (tconstruct:molten_lumium)                                                       = 熔融流明
enderium                                          (tconstruct:molten_enderium)                                                     = 熔融末影
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = 熔融磁钢
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = 熔融充能合金
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = 熔融脉冲合金
